section,metric,value
META,report_generated,2025-12-28 21:50:35
META,total_trials,10
META,best_trial,0
META,best_score,-16.29
META,optimization_hours,0
TRAINING,total_r,35.1164
TRAINING,sharpe,0.3206
TRAINING,sortino,4.0485
TRAINING,win_rate,46.8099
TRAINING,profit_usd,35116.4152
TRAINING,total_trades,1536
TRAINING,max_drawdown,64019.0017
VALIDATION,total_r,137.2264
VALIDATION,sharpe,1.8482
VALIDATION,sortino,23.9197
VALIDATION,win_rate,51.5656
VALIDATION,profit_usd,137226.4111
VALIDATION,total_trades,1022
VALIDATION,max_drawdown,44633.1432
FINAL,total_r,172.3428
FINAL,sharpe,0.9366
FINAL,sortino,11.9564
FINAL,win_rate,48.7099
FINAL,profit_usd,172342.8263
FINAL,total_trades,2558
FINAL,max_drawdown,64019.0017
PARAMS,risk_per_trade_pct,0.5
PARAMS,max_concurrent_trades,10
PARAMS,min_confluence_score,5
PARAMS,min_quality_factors,2
PARAMS,adx_trend_threshold,20
PARAMS,adx_range_threshold,13
PARAMS,trend_min_confluence,3
PARAMS,range_min_confluence,5
PARAMS,atr_trail_multiplier,2.25
PARAMS,atr_vol_ratio_range,0.9
PARAMS,atr_min_percentile,30.0
PARAMS,atr_sl_multiplier,2.5
PARAMS,partial_exit_at_1r,True
PARAMS,partial_exit_pct,0.35
PARAMS,trail_activation_r,1.0
PARAMS,volatile_asset_boost,1.2
PARAMS,summer_risk_multiplier,0.8
PARAMS,fib_zone_low,0.55
PARAMS,fib_zone_high,0.8
