timestamp,reason,equity,open_trades
2023-03-13 09:00:00,DAILY_DD_7.6%,59593.69348087922,17
2023-03-24 09:00:00,DAILY_DD_4.7%,64521.75391174858,13
2023-03-31 18:00:00,DAILY_DD_5.1%,69604.10419142005,10
2023-05-02 09:00:00,DAILY_DD_5.1%,90740.23764740126,22
2023-06-05 19:00:00,DAILY_DD_4.3%,102679.45029601434,11
2023-07-27 18:00:00,DAILY_DD_4.8%,137219.00191372927,23
2023-08-31 11:00:00,DAILY_DD_4.5%,151591.23166952052,25
2023-09-11 04:00:00,DAILY_DD_4.5%,151544.02145821118,12
2023-09-29 03:00:00,DAILY_DD_4.3%,151745.70917074606,15
2023-10-24 21:00:00,DAILY_DD_4.8%,162251.42904474592,21
2023-11-03 13:00:00,DAILY_DD_4.6%,164772.9175041164,14
2024-03-21 17:00:00,DAILY_DD_4.6%,209755.3646563769,18
2024-04-12 18:00:00,DAILY_DD_4.7%,218711.96373680772,10
2024-04-19 02:00:00,DAILY_DD_4.6%,212226.37023156678,12
2024-05-30 12:00:00,DAILY_DD_4.3%,282969.5266952556,23
2024-06-07 12:00:00,DAILY_DD_5.5%,306020.73139247665,16
2024-07-22 13:00:00,DAILY_DD_4.9%,342477.98526750255,10
2024-08-19 05:00:00,DAILY_DD_4.5%,382351.7402086092,23
2025-04-01 15:00:00,DAILY_DD_4.2%,595701.1737357841,19
2025-05-12 21:00:00,DAILY_DD_4.3%,695664.9657533051,20
2025-07-30 13:00:00,DAILY_DD_4.7%,805944.8034420765,12
2025-10-29 21:00:00,DAILY_DD_4.8%,1130825.7017138663,18
