Month,Trades,Wins,Win Rate %,Total R,Profit USD,Challenges
April 2024,103,73,70.9,+35.6,"$+28,470.53",1
August 2024,45,35,77.8,+15.1,"$+12,071.66",1
December 2024,45,24,53.3,-3.1,"$-2,497.55",1
February 2024,51,41,80.4,+18.9,"$+15,121.05",1
January 2024,56,39,69.6,+9.2,"$+7,379.67",1
July 2024,50,17,34.0,-19.8,"$-15,829.75",1
June 2024,54,34,63.0,-0.5,$-402.44,1
March 2024,70,46,65.7,+10.8,"$+8,645.27",1
May 2024,42,25,59.5,+6.6,"$+5,258.14",1
November 2024,63,31,49.2,-13.5,"$-10,778.92",1
October 2024,54,38,70.4,+9.4,"$+7,556.51",1
September 2024,63,41,65.1,+9.1,"$+7,249.32",1
